time,GHI,BHI,DHI,GTI,BTI,DTI,alpha
2007-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-66.86698498429814
2007-01-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-62.80775051873988
2007-01-01 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-54.87674233325282
2007-01-01 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-45.21752543332437
2007-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-34.92174204614024
2007-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-24.537420649880517
2007-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-14.41765322486468
2007-01-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-4.869848367464741
2007-01-01 08:30:00,8.333333333333306,0.18618768730397584,8.14714564602933,8.778265541963652,1.2904139126386505,7.292888665257484,3.773754239822921
2007-01-01 09:30:00,19.444444444444443,0.34592205726224634,19.098522387182197,18.522735471543278,1.1445202471354852,16.923301641583585,11.120283451245456
2007-01-01 10:30:00,24.99999999999997,0.3834702071688838,24.616529792831088,23.395615970721447,1.031741328856519,21.778985749662375,16.714717734338535
2007-01-01 11:30:00,63.888888888888886,2.0964425601287644,61.79244632876012,61.69789340500041,5.2108582542312085,54.99231909291822,20.094665209009847
2007-01-01 12:30:00,77.77777777777777,2.9905497154953196,74.78722806228245,75.86764654979093,7.315148873082624,66.73284334541148,20.913155550617276
2007-01-01 13:30:00,102.77777777777777,5.703214649722128,97.07456312805564,104.5954608569127,14.483375652927858,87.70754198048544,19.076810272899664
2007-01-01 14:30:00,61.111111111111114,2.58157695516325,58.529534155947864,61.294940044361745,7.357271630205574,52.50794001099437,14.789789588390448
2007-01-01 15:30:00,22.22222222222222,0.59222182863612,21.6300003935861,22.11004164064176,2.304748679490758,19.28539172363762,8.461421574470023
2007-01-01 16:30:00,5.555555555555555,1.0063279445174702,4.549227611038085,3.855139280152254,0.0,3.7251639707739086,0.5623255119964341
2007-01-01 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-8.473694397293926
2007-01-01 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-18.279605013874544
2007-01-01 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-28.53856632124267
2007-01-01 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-38.93656635346346
2007-01-01 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-49.07013836996316
2007-01-01 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-58.23879829718189
2007-01-01 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-64.98742835557547
2007-01-02 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-66.79521040862804
2007-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-62.78384617707482
2007-01-02 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,-54.882766960195966
